language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups,threshold,loan_class,thin_lang_note
Yakut,towel,sotːoɾ,s o tː o ɾ,northeuralex,-1.326,-1.326,False,False,False,5,5,-1.1851,unknown,
Yakut,strength,kyːs,k yː s,northeuralex,-1.2082,-1.2082,False,False,False,3,3,-1.1851,unknown,
Yakut,illness,ɯ͡aɾɯː,ɯa ɾ ɯː,northeuralex,-1.1877,-1.1877,False,False,False,3,3,-1.1851,unknown,
Yakut,pain,ɯ͡aɾɯː,ɯa ɾ ɯː,northeuralex,-1.1877,-1.1877,False,False,False,3,3,-1.1851,unknown,
Yakut,master,uːs,uː s,northeuralex,-1.3441,-1.3441,False,False,False,2,2,-1.1851,unknown,
Yakut,fight,oxsuhuː,o x s u h uː,northeuralex,-1.2256,-1.2256,False,False,False,6,6,-1.1851,unknown,
Yakut,bow,ox,o x,northeuralex,-1.3053,-1.3053,False,False,False,2,2,-1.1851,unknown,
Yakut,arrow,ox,o x,northeuralex,-1.3053,-1.3053,False,False,False,2,2,-1.1851,unknown,
Yakut,age,saːs,s aː s,northeuralex,-1.2284,-1.2284,False,False,False,3,3,-1.1851,unknown,
Yakut,noon,kyn_oɾtoto,k y n + o ɾ t o t o,northeuralex,-1.2124,-1.2124,False,False,False,10,9,-1.1851,unknown,
Yakut,spring,saːs,s aː s,northeuralex,-1.2284,-1.2284,False,False,False,3,3,-1.1851,unknown,
Yakut,dense,xojuː,x o j uː,northeuralex,-1.2283,-1.2283,False,False,False,4,4,-1.1851,unknown,
Yakut,thick,xojuː,x o j uː,northeuralex,-1.2283,-1.2283,False,False,False,4,4,-1.1851,unknown,
Yakut,round,tøɡyɾyk,t ø g y ɾ y k,northeuralex,-1.2267,-1.2267,False,False,False,7,7,-1.1851,unknown,
