ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
2338	Azerbaijani	try	tʃ ɑ l ɯ ʃ m ɑ g	t͡ʃɑlɯʃmɑɡ	1 7 5 7 3 4 7 1	AXBYBCYN	TALISMAK	1	1.T.C 1.A.V 1.L.C 1.I.V 1.S.C 1.M.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	1	1391
3313	Uzbek	try	tʃ a l i ʃ m ɒ q	t͡ʃaliʃmɒq	1 7 5 7 3 4 7 1	AXBYBCYN	TALISMOK	8	8.T.C 8.A.V 8.L.C 8.I.V 8.S.C 8.M.C 8.O.V 8.K.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	0	1391
4462	Kazakh	try	t ɑ l p ə n u	tɑlpənu	1 7 5 1 7 4 7	AXMBYBZ	TALPENY	3	3.T.C 3.A.V 3.L.c 3.P.C 3.E.V 3.N.C 3.Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	1391
5646	Chuvash	try	p i k ɛ n	piˈk̬ɛn	1 7 1 7 4	AXBYN	PIKEN	2	2.P.C 2.I.V 2.K.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	1391
6701	Yakut	try	s o ɾ u n	soɾun	3 7 5 7 4	AXBYN	SURYN	9	9.S.C 9.U.V 9.R.C 9.Y.V 9.N.c	2.0 1.5 1.75 1.3 0.8	0	1391
1213	Turkish	tumble	j ɛ ɾ ɛ + d y ʃ m ɛ k	jɛɾɛ_dyʃmɛk	6 7 5 7 9 1 7 3 4 7 1	AXBZ_AXBCYN	JERE_TYSMEK	5	5.J.C 5.E.V 5.R.C 5.E.V 5._._ 5.T.C 5.Y.V 5.S.C 5.M.C 5.E.V 5.K.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.5 1.3 0.8	0	1392
2305	Azerbaijani	tumble	j ɯ χ ɯ l m ɑ g	jɯχɯlmɑɡ	6 7 3 7 5 4 7 1	AXBYMBYN	JIGILMAK	1	1.J.C 1.I.V 1.G.C 1.I.V 1.L.c 1.M.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0	1392
3282	Uzbek	tumble	j i q i l m ɒ q	jiqilmɒq	6 7 1 7 5 4 7 1	AXBYMBYN	JIKILMOK	8	8.J.C 8.I.V 8.K.C 8.I.V 8.L.c 8.M.C 8.O.V 8.K.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0	1392
4426	Kazakh	tumble	ʒ ə ʁ ə l u	ʒəʁəlu	3 7 5 7 5 7	AXBYBZ	SERELY	3	3.S.C 3.E.V 3.R.C 3.E.V 3.L.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	1	1392
5609	Chuvash	tumble	y k	yk	7 1	XN	YK	2	2.Y.V 2.K.c	1.5 0.8	1	1392
6664	Yakut	tumble	o ɣ u t	oɣut	7 3 7 1	XBYN	UGYT	9	9.U.V 9.G.C 9.Y.V 9.T.c	1.5 1.75 1.3 0.8	1	1392
1284	Turkish	turn out	d y ʃ m ɛ k	dyʃmɛk	1 7 3 4 7 1	AXBCYN	TYSMEK	5	5.T.C 5.Y.V 5.S.C 5.M.C 5.E.V 5.K.c	2.0 1.5 1.75 1.5 1.3 0.8	1	1393
2373	Azerbaijani	turn out	d y ʃ m æ k	dyʃmæk	1 7 3 4 7 1	AXBCYN	TYSMEK	1	1.T.C 1.Y.V 1.S.C 1.M.C 1.E.V 1.K.c	2.0 1.5 1.75 1.5 1.3 0.8	0	1393
3346	Uzbek	turn out	b o l m ɒ q	bolmɒq	1 7 5 4 7 1	AXMBYN	PULMOK	8	8.P.C 8.U.V 8.L.c 8.M.C 8.O.V 8.K.c	2.0 1.5 1.1 1.75 1.3 0.8	1	1393
4508	Kazakh	turn out	k ɑ l u	kɑlu	1 7 5 7	AXBZ	KALY	3	3.K.C 3.A.V 3.L.C 3.Y.V	2.0 1.5 1.75 0.8	0	1393
5684	Chuvash	turn out	p u l	pul	1 7 5	AXN	PYL	2	2.P.C 2.Y.V 2.L.c	2.0 1.5 0.8	1	1393
6739	Yakut	turn out	b aː ɾ + b uo l a n + b ie ɾ	baːɾ_bu͡olan_bi͡eɾ	1 7 5 9 1 7 5 7 4 9 1 7 5	AXN_AXBYN_AXN	PAR_PYLAN_PIR	9	9.P.C 9.A.V 9.R.c 9._._ 9.P.C 9.Y.V 9.L.C 9.A.V 9.N.c 9._._ 9.P.C 9.I.V 9.R.c	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	0	1393
6740	Yakut	turn out	b aː ɾ + b uo l a + t u s	baːɾ_bu͡ola_tus	1 7 5 9 1 7 5 7 9 1 7 3	AXN_AXBZ_AXN	PAR_PYLA_TYS	9	9.P.C 9.A.V 9.R.c 9._._ 9.P.C 9.Y.V 9.L.C 9.A.V 9._._ 9.T.C 9.Y.V 9.S.c	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	1393
6741	Yakut	turn out	b uo l a n + t a ɣ ɯ s	bu͡olan_taɣɯs	1 7 5 7 4 9 1 7 3 7 3	AXBYN_AXBYN	PYLAN_TAGIS	9	9.P.C 9.Y.V 9.L.C 9.A.V 9.N.c 9._._ 9.T.C 9.A.V 9.G.C 9.I.V 9.S.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	0	1393
