language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag
Turkish,end,ut͡ʃ,u tʃ,A_oghuz,northeuralex,-0.9963,-0.9963,True,True,unknown,False
Turkish,willow,sœjyt,s œ j y t,A_oghuz,northeuralex,-0.9936,-0.9936,True,True,unknown,False
Azerbaijani,because of,yt͡ʃyn,y tʃ y n,A_oghuz,northeuralex,-0.9896,-0.9896,True,True,unknown,False
Turkish,area,jœɾɛ,j œ ɾ ɛ,A_oghuz,northeuralex,-0.9859,-0.9859,True,True,unknown,False
Azerbaijani,weak,ɟyd͡ʒsyz,ɟ y dʒ s y z,A_oghuz,northeuralex,-0.9779,-0.9779,True,True,unknown,False
Azerbaijani,mirror,ɟyzɟy,ɟ y z ɟ y,A_oghuz,northeuralex,-0.9704,-0.9704,True,True,unknown,False
Azerbaijani,joy,sɛvɪnd͡ʒ,s ɛ v ɪ n dʒ,A_oghuz,northeuralex,-0.9692,-0.9692,True,True,unknown,False
Turkish,desire,hɛvɛs,h ɛ v ɛ s,A_oghuz,northeuralex,-0.9619,-0.9619,True,True,unknown,False
Azerbaijani,boss,ʃɛf,ʃ ɛ f,A_oghuz,northeuralex,-0.9605,-0.9605,True,True,unknown,False
Turkish,cock,hoɾoz,h o ɾ o z,A_oghuz,northeuralex,-0.9567,-0.9567,True,True,unknown,False
Turkish,fat,jaː,j aː,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False
Turkish,oil,jaː,j aː,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False
Azerbaijani,willow,sœjyd,s œ j y d,A_oghuz,northeuralex,-0.9539,-0.9539,True,True,unknown,False
Azerbaijani,hungry,ɑd͡ʒ,ɑ dʒ,A_oghuz,northeuralex,-0.9511,-0.9511,True,True,unknown,False
Azerbaijani,trunk,ɟœvdæ,ɟ œ v d æ,A_oghuz,northeuralex,-0.9474,-0.9474,True,True,unknown,False
Turkish,thought,dyʃynd͡ʒɛ,d y ʃ y n dʒ ɛ,A_oghuz,northeuralex,-0.9473,-0.9473,True,True,unknown,False
Azerbaijani,shoulder,t͡ʃɪjɪn,tʃ ɪ j ɪ n,A_oghuz,northeuralex,-0.9438,-0.9438,True,True,unknown,False
Azerbaijani,pattern,ylɟy,y l ɟ y,A_oghuz,northeuralex,-0.941,-0.941,True,True,unknown,False
Azerbaijani,bad,pɪs,p ɪ s,A_oghuz,northeuralex,-0.9399,-0.9399,True,True,unknown,False
Turkish,milk,syt,s y t,A_oghuz,northeuralex,-0.9387,-0.9387,True,True,unknown,False
Azerbaijani,item,ʃɛj,ʃ ɛ j,A_oghuz,northeuralex,-0.9376,-0.9376,True,True,unknown,False
Azerbaijani,thing,ʃɛj,ʃ ɛ j,A_oghuz,northeuralex,-0.9376,-0.9376,True,True,unknown,False
Azerbaijani,border,hydud,h y d u d,A_oghuz,northeuralex,-0.9368,-0.9368,True,True,unknown,False
Azerbaijani,at that time,ɔ_vɑχt,ɔ + v ɑ χ t,A_oghuz,northeuralex,-0.9364,-0.9364,True,True,unknown,False
Azerbaijani,pole,ʃyvyl,ʃ y v y l,A_oghuz,northeuralex,-0.9359,-0.9359,True,True,unknown,False
Azerbaijani,staff,ʃyvyl,ʃ y v y l,A_oghuz,northeuralex,-0.9359,-0.9359,True,True,unknown,False
Turkish,sad,yzyntyly,y z y n t y l y,A_oghuz,northeuralex,-0.9345,-0.9345,True,True,unknown,False
Turkish,face,jyz,j y z,A_oghuz,northeuralex,-0.9326,-0.9326,True,True,unknown,False
Azerbaijani,breast,dœʃ,d œ ʃ,A_oghuz,northeuralex,-0.9326,-0.9326,True,True,unknown,False
Turkish,hill,tɛpɛ,t ɛ p ɛ,A_oghuz,northeuralex,-0.9295,-0.9295,True,True,unknown,False
Azerbaijani,knot,dyjyn,d y j y n,A_oghuz,northeuralex,-0.9274,-0.9274,True,True,unknown,False
Turkish,window,pɛnd͡ʒɛɾɛ,p ɛ n dʒ ɛ ɾ ɛ,A_oghuz,northeuralex,-0.9257,-0.9257,True,True,unknown,False
Azerbaijani,work,ɪʃ,ɪ ʃ,A_oghuz,northeuralex,-0.9252,-0.9252,True,True,unknown,False
Azerbaijani,matter,ɪʃ,ɪ ʃ,A_oghuz,northeuralex,-0.9252,-0.9252,True,True,unknown,False
Azerbaijani,thought,dyʃynd͡ʒæ,d y ʃ y n dʒ æ,A_oghuz,northeuralex,-0.9204,-0.9204,True,True,unknown,False
Azerbaijani,sleep,juχu,j u χ u,A_oghuz,northeuralex,-0.9199,-0.9199,True,True,unknown,False
Turkish,speech,sœjlɛv,s œ j l ɛ v,A_oghuz,northeuralex,-0.9184,-0.9184,True,True,unknown,False
Turkish,pot,tɛnd͡ʒɛɾɛ,t ɛ n dʒ ɛ ɾ ɛ,A_oghuz,northeuralex,-0.9169,-0.9169,True,True,unknown,False
Turkish,chin,t͡ʃɛnɛ,tʃ ɛ n ɛ,A_oghuz,northeuralex,-0.9168,-0.9168,True,True,unknown,False
Turkish,jaw,t͡ʃɛnɛ,tʃ ɛ n ɛ,A_oghuz,northeuralex,-0.9168,-0.9168,True,True,unknown,False
Azerbaijani,tooth,dɪʃ,d ɪ ʃ,A_oghuz,northeuralex,-0.916,-0.916,True,True,unknown,False
Turkish,noon,œjlɛ,œ j l ɛ,A_oghuz,northeuralex,-0.9158,-0.9158,True,True,unknown,False
Turkish,so,œjlɛ,œ j l ɛ,A_oghuz,northeuralex,-0.9158,-0.9158,True,True,unknown,False
Turkish,palm,avut͡ʃ,a v u tʃ,A_oghuz,northeuralex,-0.9156,-0.9156,True,True,unknown,False
Turkish,fault,sut͡ʃ,s u tʃ,A_oghuz,northeuralex,-0.9152,-0.9152,True,True,unknown,False
Azerbaijani,seven,jɛdːɪ,j ɛ dː ɪ,A_oghuz,northeuralex,-0.9149,-0.9149,True,True,unknown,False
Turkish,wood,aːat͡ʃ,aː a tʃ,A_oghuz,northeuralex,-0.9141,-0.9141,True,True,unknown,False
Turkish,meat,ɛt,ɛ t,A_oghuz,northeuralex,-0.9141,-0.9141,True,True,unknown,False
Azerbaijani,milk,syd,s y d,A_oghuz,northeuralex,-0.9124,-0.9124,True,True,unknown,False
Turkish,raw,t͡ʃij,tʃ i j,A_oghuz,northeuralex,-0.9122,-0.9122,True,True,unknown,False
Turkish,fur,post,p o s t,A_oghuz,northeuralex,-0.912,-0.912,True,True,unknown,False
Turkish,nail,t͡ʃivi,tʃ i v i,A_oghuz,northeuralex,-0.9117,-0.9117,True,True,unknown,False
Turkish,cheap,ud͡ʒuz,u dʒ u z,A_oghuz,northeuralex,-0.9116,-0.9116,True,True,unknown,False
Turkish,claw,pɛnt͡ʃɛ,p ɛ n tʃ ɛ,A_oghuz,northeuralex,-0.9114,-0.9114,True,True,unknown,False
Turkish,wealth,sɛɾvɛt,s ɛ ɾ v ɛ t,A_oghuz,northeuralex,-0.9112,-0.9112,True,True,unknown,False
Azerbaijani,backward,ɟɛrɪ,ɟ ɛ r ɪ,A_oghuz,northeuralex,-0.911,-0.911,True,True,unknown,False
Azerbaijani,hardly,ɟyd͡ʒlæ,ɟ y dʒ l æ,A_oghuz,northeuralex,-0.911,-0.911,True,True,unknown,False
Azerbaijani,new,jɛnɪ,j ɛ n ɪ,A_oghuz,northeuralex,-0.9102,-0.9102,True,True,unknown,False
Azerbaijani,laughter,ɟylyʃ,ɟ y l y ʃ,A_oghuz,northeuralex,-0.9086,-0.9086,True,True,unknown,False
Azerbaijani,how,nɛd͡ʒæ,n ɛ dʒ æ,A_oghuz,northeuralex,-0.8991,-0.8991,True,True,unknown,False
Azerbaijani,wide,ɟɛnɪʃ,ɟ ɛ n ɪ ʃ,A_oghuz,northeuralex,-0.8951,-0.8951,True,True,unknown,False
Turkish,cross,hat͡ʃ,h a tʃ,A_oghuz,northeuralex,-0.8949,-0.8949,True,True,unknown,False
Turkish,everything,hɛɾ_ʃɛj,h ɛ ɾ + ʃ ɛ j,A_oghuz,northeuralex,-0.8949,-0.8949,True,True,unknown,False
Azerbaijani,now,ɪndɪ,ɪ n d ɪ,A_oghuz,northeuralex,-0.894,-0.894,True,True,unknown,False
Turkish,dust,toz,t o z,A_oghuz,northeuralex,-0.8937,-0.8937,True,True,unknown,False
Turkish,ground,jɛɾ,j ɛ ɾ,A_oghuz,northeuralex,-0.8929,-0.8929,True,True,unknown,False
Turkish,space,jɛɾ,j ɛ ɾ,A_oghuz,northeuralex,-0.8929,-0.8929,True,True,unknown,False
Turkish,place,jɛɾ,j ɛ ɾ,A_oghuz,northeuralex,-0.8929,-0.8929,True,True,unknown,False
