ID	DOCULECT	CONCEPT	TOKENS	IPA
566	Turkish	daughter	k ɯ z	kɯz
567	Turkish	daughter	k ɯ z + ɛ v l aː t	kɯz_ɛvlaːt
568	Turkish	brother	a b i	abi
569	Turkish	brother	ɛ ɾ k ɛ k + k a ɾ d ɛ ʃ	ɛɾkɛk_kaɾdɛʃ
570	Turkish	sister	a b l a	abla
571	Turkish	sister	k ɯ z + k a ɾ d ɛ ʃ	kɯz_kaɾdɛʃ
572	Turkish	uncle	d a j ɯ	dajɯ
573	Turkish	aunt	h a l a	hala
574	Turkish	aunt	t ɛ j z ɛ	tɛjzɛ
575	Turkish	husband	k o dʒ a	kod͡ʒa
576	Turkish	wife	k a ɾ ɯ	kaɾɯ
577	Turkish	joy	n ɛ ʃ ɛ	nɛʃɛ
578	Turkish	joy	s ɛ v i n tʃ	sɛvint͡ʃ
579	Turkish	laughter	g y l m ɛ	ɡylmɛ
580	Turkish	laughter	k a h k a h a	kahkaha
581	Turkish	happiness	m u t l u l u k	mutluluk
582	Turkish	grief	d ɛ ɾ t	dɛɾt
583	Turkish	grief	k ɛ d ɛ ɾ	kɛdɛɾ
584	Turkish	wish	a ɾ z u	aɾzu
585	Turkish	wish	i s t ɛ k	istɛk
586	Turkish	desire	a ɾ z u	aɾzu
587	Turkish	desire	h ɛ v ɛ s	hɛvɛs
588	Turkish	spirit	t i n	tin
589	Turkish	thought	f i k i ɾ	fikiɾ
590	Turkish	thought	d y ʃ y n dʒ ɛ	dyʃynd͡ʒɛ
591	Turkish	memory	b ɛ lː ɛ k	bɛlːɛk
592	Turkish	mind	z ɛ k aː	zɛkaː
593	Turkish	meaning	a n l a m	anlam
594	Turkish	reason	s ɛ b ɛ p	sɛbɛp
595	Turkish	truth	d oː ɾ u l u k	doːɾuluk
596	Turkish	truth	g ɛ ɾ tʃ ɛ k l i k	ɡɛɾt͡ʃɛklik
597	Turkish	talk	g œ ɾ y ʃ m ɛ	ɡœɾyʃmɛ
598	Turkish	fairy tale	m a s a l	masal
599	Turkish	story	œ j k y	œjky
600	Turkish	story	h i k aː j ɛ	hikaːjɛ
601	Turkish	message	h a b ɛ ɾ	habɛɾ
602	Turkish	news	h a b ɛ ɾ	habɛɾ
603	Turkish	name	a d	ad
604	Turkish	name	i s i m	isim
605	Turkish	puzzle	b i l m ɛ dʒ ɛ	bilmɛd͡ʒɛ
606	Turkish	speech	s œ j l ɛ v	sœjlɛv
607	Turkish	speech	k o n u ʃ m a	konuʃma
608	Turkish	language	d i l	dil
609	Turkish	language	l i s a n	lisan
610	Turkish	voice	s ɛ s	sɛs
611	Turkish	word	k ɛ l i m ɛ	kɛlimɛ
612	Turkish	sign	i ʃ a ɾ ɛ t	iʃaɾɛt
613	Turkish	call	tʃ aː ɯ ɾ m a	t͡ʃaːɯɾma
614	Turkish	noise	ʃ a m a t a	ʃamata
615	Turkish	noise	g y ɾ y l t y	ɡyɾylty
616	Turkish	sound	s ɛ s	sɛs
617	Turkish	tone	s ɛ s	sɛs
618	Turkish	song	t y ɾ k y	tyɾky
619	Turkish	calm	s a k i n l i k	sakinlik
620	Turkish	people	h a l k	halk
621	Turkish	people	i n s a n l a ɾ	insanlaɾ
622	Turkish	nation	u l u s	ulus
623	Turkish	nation	m i lː ɛ t	milːɛt
624	Turkish	work	i ʃ	iʃ
625	Turkish	work	tʃ a l ɯ ʃ m a	t͡ʃalɯʃma
626	Turkish	guest	k o n u k	konuk
627	Turkish	guest	m i s a f i ɾ	misafiɾ
628	Turkish	gift	h ɛ d i j ɛ	hɛdijɛ
629	Turkish	gift	a ɾ m aː a n	aɾmaːan
630	Turkish	game	o j u n	ojun
631	Turkish	company	tʃ ɛ v ɾ ɛ	t͡ʃɛvɾɛ
632	Turkish	company	a ɾ k a d a ʃ l ɯ k	aɾkadaʃlɯk
633	Turkish	help	j a ɾ d ɯ m	jaɾdɯm
634	Turkish	friend	d o s t	dost
635	Turkish	friend	a ɾ k a d a ʃ	aɾkadaʃ
636	Turkish	companion	a ɾ k a d a ʃ	aɾkadaʃ
637	Turkish	matter	i ʃ	iʃ
638	Turkish	matter	h u s u s	husus
639	Turkish	count	s a j ɯ	sajɯ
640	Turkish	sort	tʃ ɛ ʃ i t	t͡ʃɛʃit
641	Turkish	piece	t a n ɛ	tanɛ
642	Turkish	piece	p a ɾ tʃ a	paɾt͡ʃa
643	Turkish	part	k ɯ s ɯ m	kɯsɯm
644	Turkish	half	j a ɾ ɯ	jaɾɯ
645	Turkish	circle	d a i ɾ ɛ	daiɾɛ
646	Turkish	cross	h a tʃ	hat͡ʃ
647	Turkish	line	h a t	hat
648	Turkish	line	tʃ i z g i	t͡ʃizɡi
649	Turkish	stroke	tʃ i z g i	t͡ʃizɡi
650	Turkish	gap	a ɾ a l ɯ k	aɾalɯk
651	Turkish	distance	m ɛ s a f ɛ	mɛsafɛ
652	Turkish	distance	u z a k l ɯ k	uzaklɯk
653	Turkish	area	j œ ɾ ɛ	jœɾɛ
654	Turkish	space	j ɛ ɾ	jɛɾ
655	Turkish	place	j ɛ ɾ	jɛɾ
656	Turkish	side	j a n	jan
657	Turkish	side	t a ɾ a f	taɾaf
658	Turkish	middle	o ɾ t a	oɾta
659	Turkish	middle	m ɛ ɾ k ɛ z	mɛɾkɛz
660	Turkish	item	ʃ ɛ j	ʃɛj
661	Turkish	thing	i ʃ	iʃ
662	Turkish	thing	ʃ ɛ j	ʃɛj
663	Turkish	fringe	k ɛ n a ɾ	kɛnaɾ
664	Turkish	edge	k ɛ n a ɾ	kɛnaɾ
665	Turkish	corner	k œ ʃ ɛ	kœʃɛ
666	Turkish	tip	u tʃ	ut͡ʃ
667	Turkish	tip	b a ʃ	baʃ
668	Turkish	end	u tʃ	ut͡ʃ
669	Turkish	hole	o j u k	ojuk
670	Turkish	hole	d ɛ l i k	dɛlik
671	Turkish	angle	k œ ʃ ɛ	kœʃɛ
672	Turkish	pattern	œ ɾ n ɛ k	œɾnɛk
673	Turkish	size	b y j y k l y k	byjyklyk
674	Turkish	length	u z u n l u k	uzunluk
675	Turkish	height	j y k s ɛ k l i k	jyksɛklik
676	Turkish	weight	aː ɯ ɾ l ɯ k	aːɯɾlɯk
677	Turkish	amount	m i k t a ɾ	miktaɾ
678	Turkish	heap	k y m ɛ	kymɛ
679	Turkish	heap	j ɯː ɯ n	jɯːɯn
680	Turkish	row	s ɯ ɾ a	sɯɾa
681	Turkish	boat	k a j ɯ k	kajɯk
682	Turkish	boat	s a n d a l	sandal
683	Turkish	oar	k y ɾ ɛ k	kyɾɛk
684	Turkish	sleigh	k ɯ z a k	kɯzak
685	Turkish	ski	k a j a k	kajak
686	Turkish	campfire	k a m p + a t ɛ ʃ i	kamp_atɛʃi
687	Turkish	load	j y k	jyk
688	Turkish	walk	g i d i ʃ	ɡidiʃ
689	Turkish	walk	j y ɾ y j y ʃ	jyɾyjyʃ
690	Turkish	step	a d ɯ m	adɯm
691	Turkish	north	k u z ɛ j	kuzɛj
692	Turkish	south	g y n ɛ j	ɡynɛj
693	Turkish	west	b a t ɯ	batɯ
694	Turkish	east	d oː u	doːu
695	Turkish	wood	aː a tʃ	aːat͡ʃ
696	Turkish	wood	t a h t a	tahta
697	Turkish	board	t a h t a	tahta
698	Turkish	slab	l ɛ v h a	lɛvha
699	Turkish	support, rest	d a j a k	dajak
700	Turkish	support, rest	d ɛ s t ɛ k	dɛstɛk
701	Turkish	pole	tʃ u b u k	t͡ʃubuk
702	Turkish	stick	s o p a	sopa
703	Turkish	stick	d ɛ j n ɛ k	dɛjnɛk
704	Turkish	staff	s ɯ ɾ ɯ k	sɯɾɯk
705	Turkish	staff	b a s t o n	baston
706	Turkish	pipe	b o ɾ u	boɾu
707	Turkish	house	ɛ v	ɛv
708	Turkish	home	ɛ v	ɛv
709	Turkish	home	j u ɾ t	juɾt
710	Turkish	stove	s o b a	soba
711	Turkish	floor	t a b a n	taban
712	Turkish	floor	d œ ʃ ɛ m ɛ	dœʃɛmɛ
713	Turkish	table	m a s a	masa
714	Turkish	chair	i s k ɛ m l ɛ	iskɛmlɛ
715	Turkish	chair	s a n d a l j ɛ	sandaljɛ
716	Turkish	cradle	b ɛ ʃ i k	bɛʃik
717	Turkish	bed	j a t a k	jatak
718	Turkish	shelf	ɾ a f	ɾaf
719	Turkish	box	s a n d ɯ k	sandɯk
720	Turkish	window	p ɛ n dʒ ɛ ɾ ɛ	pɛnd͡ʒɛɾɛ
721	Turkish	door	k a p ɯ	kapɯ
722	Turkish	gate	k a p ɯ	kapɯ
723	Turkish	fence	tʃ i t	t͡ʃit
724	Turkish	roof	d a m	dam
725	Turkish	roof	tʃ a t ɯ	t͡ʃatɯ
726	Turkish	ladder	m ɛ ɾ d i v ɛ n	mɛɾdivɛn
727	Turkish	broom	s y p y ɾ g ɛ	sypyɾɡɛ
728	Turkish	spade	b ɛ l	bɛl
729	Turkish	shovel	k y ɾ ɛ k	kyɾɛk
730	Turkish	fork	tʃ a t a l	t͡ʃatal
731	Turkish	spoon	k a ʃ ɯ k	kaʃɯk
732	Turkish	knife	b ɯ tʃ a k	bɯt͡ʃak
733	Turkish	nail	tʃ i v i	t͡ʃivi
734	Turkish	net	aː	aː
735	Turkish	hook	tʃ ɛ n g ɛ l	t͡ʃɛnɡɛl
736	Turkish	handle	k u l p	kulp
737	Turkish	handle	t u t a m a k	tutamak
738	Turkish	lock	k i l i t	kilit
739	Turkish	picture	i m a dʒ	imad͡ʒ
740	Turkish	picture	ɾ ɛ s i m	ɾɛsim
741	Turkish	figure	ʃ ɛ k i l	ʃɛkil
742	Turkish	figure	h ɛ j k ɛ l	hɛjkɛl
743	Turkish	doll	k u k l a	kukla
744	Turkish	pouch	k ɛ s ɛ	kɛsɛ
745	Turkish	pouch	t o ɾ b a	toɾba
746	Turkish	bundle	d ɛ s t ɛ	dɛstɛ
747	Turkish	bag	tʃ a n t a	t͡ʃanta
748	Turkish	bucket	k o v a	kova
749	Turkish	cover, lid	k a p a k	kapak
750	Turkish	dishes	k a p + k a dʒ a k	kap_kad͡ʒak
751	Turkish	sack	t o ɾ b a	toɾba
752	Turkish	cup	f i n dʒ a n	find͡ʒan
753	Turkish	pot	t ɛ n dʒ ɛ ɾ ɛ	tɛnd͡ʒɛɾɛ
754	Turkish	kettle	k a z a n	kazan
755	Turkish	meal	j ɛ m ɛ k	jɛmɛk
756	Turkish	food	g ɯ d a	ɡɯda
757	Turkish	food	b ɛ s i n	bɛsin
758	Turkish	dish	j ɛ m ɛ k	jɛmɛk
759	Turkish	meat	ɛ t	ɛt
760	Turkish	corn	t a h ɯ l	tahɯl
761	Turkish	corn	h u b u b a t	hububat
762	Turkish	mush	ɛ z m ɛ	ɛzmɛ
763	Turkish	bread	ɛ k m ɛ k	ɛkmɛk
764	Turkish	slice	d i l i m	dilim
765	Turkish	fat	j aː	jaː
766	Turkish	butter	t ɛ ɾ ɛ j aː ɯ	tɛɾɛjaːɯ
767	Turkish	oil	j aː	jaː
768	Turkish	oil	a k a ɾ + j aː	akaɾ_jaː
769	Turkish	salt	t u z	tuz
770	Turkish	soup	tʃ o ɾ b a	t͡ʃoɾba
771	Turkish	honey	b a l	bal
772	Turkish	milk	s y t	syt
773	Turkish	tea	tʃ a j	t͡ʃaj
774	Turkish	leather	d ɛ ɾ i	dɛɾi
775	Turkish	leather	m ɛ ʃ i n	mɛʃin
776	Turkish	wool	j y n	jyn
777	Turkish	cloth	k u m a ʃ	kumaʃ
778	Turkish	needle	i j n ɛ	ijnɛ
779	Turkish	thread	t i ɾ ɛ	tiɾɛ
780	Turkish	thread	i p l i k	iplik
781	Turkish	button	d y j m ɛ	dyjmɛ
782	Turkish	knot	d y j y m	dyjym
783	Turkish	paint	b o j a	boja
784	Turkish	clothes	g i j i m	ɡijim
785	Turkish	shirt	g œ m l ɛ k	ɡœmlɛk
786	Turkish	collar	j a k a	jaka
787	Turkish	sleeve	j ɛ n	jɛn
788	Turkish	sleeve	ɛ l b i s ɛ + k o l u	ɛlbisɛ_kolu
789	Turkish	trousers	p a n t o l o n	pantolon
790	Turkish	belt	k u ʃ a k	kuʃak
791	Turkish	cap	b ɛ ɾ ɛ	bɛɾɛ
792	Turkish	cap	k a s k ɛ t	kaskɛt
793	Turkish	shoe	k u n d u ɾ a	kunduɾa
794	Turkish	shoe	a j a kː a b ɯ	ajakːabɯ
795	Turkish	boot	tʃ i z m ɛ	t͡ʃizmɛ
796	Turkish	ring	j y z y k	jyzyk
797	Turkish	ribbon	b aː	baː
798	Turkish	ribbon	ʃ ɛ ɾ i t	ʃɛɾit
799	Turkish	comb	t a ɾ a k	taɾak
800	Turkish	mirror	a j n a	ajna
801	Turkish	strap	k a j ɯ ʃ	kajɯʃ
802	Turkish	string	i p	ip
803	Turkish	string	s i dʒ i m	sid͡ʒim
804	Turkish	leash	k a j ɯ ʃ	kajɯʃ
805	Turkish	blanket	œ ɾ t y	œɾty
806	Turkish	blanket	j o ɾ g a n	joɾɡan
807	Turkish	pillow	j a s t ɯ k	jastɯk
808	Turkish	scarf	b ɛ z	bɛz
809	Turkish	towel	h a v l u	havlu
810	Turkish	force	g y tʃ	ɡyt͡ʃ
811	Turkish	force	k u vː ɛ t	kuvːɛt
812	Turkish	strength	k u vː ɛ t	kuvːɛt
813	Turkish	health	s aː l ɯ k	saːlɯk
814	Turkish	illness	h a s t a l ɯ k	hastalɯk
815	Turkish	pain	aː ɾ ɯ	aːɾɯ
816	Turkish	pain	s a n dʒ ɯ	sand͡ʒɯ
817	Turkish	wound	j a ɾ a	jaɾa
818	Turkish	fever	a t ɛ ʃ	atɛʃ
819	Turkish	medicine	i l aː tʃ	ilaːt͡ʃ
820	Turkish	bridge	k œ p ɾ y	kœpɾy
821	Turkish	well	k u j u	kuju
822	Turkish	well	tʃ ɛ ʃ m ɛ	t͡ʃɛʃmɛ
823	Turkish	pasture	o t l a k	otlak
824	Turkish	path	p a t i k a	patika
825	Turkish	path	k ɛ tʃ i j o l u	kɛt͡ʃijolu
826	Turkish	way	j o l	jol
827	Turkish	road	j o l	jol
828	Turkish	road	dʒ a dː ɛ	d͡ʒadːɛ
829	Turkish	village	k œ j	kœj
830	Turkish	town	k ɛ n t	kɛnt
831	Turkish	town	ʃ ɛ h i ɾ	ʃɛhiɾ
832	Turkish	letter	m ɛ k t u p	mɛktup
833	Turkish	book	k i t a p	kitap
834	Turkish	character	h a ɾ f	haɾf
835	Turkish	newspaper	g a z ɛ t ɛ	ɡazɛtɛ
836	Turkish	life	h a j a t	hajat
837	Turkish	death	œ l y m	œlym
838	Turkish	grave	k a b i ɾ	kabiɾ
839	Turkish	church	k i l i s ɛ	kilisɛ
840	Turkish	sin	g y n a h	ɡynah
841	Turkish	god	t a n ɾ ɯ	tanɾɯ
842	Turkish	worker	i ʃ tʃ i	iʃt͡ʃi
843	Turkish	boss	ʃ ɛ f	ʃɛf
844	Turkish	boss	m y d y ɾ	mydyɾ
845	Turkish	master	u s t a	usta
846	Turkish	doctor	h ɛ k i m	hɛkim
847	Turkish	doctor	d o k t o ɾ	doktoɾ
848	Turkish	teacher	h o dʒ a	hod͡ʒa
849	Turkish	teacher	œ j ɾ ɛ t m ɛ n	œjɾɛtmɛn
850	Turkish	money	p a ɾ a	paɾa
851	Turkish	business	t i dʒ a ɾ ɛ t	tid͡ʒaɾɛt
852	Turkish	shop	d y kː aː n	dykːaːn
853	Turkish	price	f i j a t	fijat
854	Turkish	ware	m a l	mal
855	Turkish	benefit	f a j d a	fajda
856	Turkish	wealth	s ɛ ɾ v ɛ t	sɛɾvɛt
857	Turkish	wealth	z ɛ n g i n l i k	zɛnɡinlik
858	Turkish	world	d y n j a	dynja
859	Turkish	country	y l k ɛ	ylkɛ
860	Turkish	state	d ɛ v l ɛ t	dɛvlɛt
861	Turkish	king	k ɾ a l	kɾal
862	Turkish	power	k u d ɾ ɛ t	kudɾɛt
863	Turkish	power	i k t i d a ɾ	iktidaɾ
864	Turkish	border	h a d	had
865	Turkish	border	s ɯ n ɯ ɾ	sɯnɯɾ
866	Turkish	war	s a v a ʃ	savaʃ
867	Turkish	enemy	d y ʃ m a n	dyʃman
868	Turkish	violence	z o ɾ	zoɾ
869	Turkish	violence	dʒ ɛ b i ɾ	d͡ʒɛbiɾ
870	Turkish	fight	s a v a ʃ	savaʃ
871	Turkish	bow	j a j	jaj
872	Turkish	arrow	o k	ok
873	Turkish	gun	t y f ɛ k	tyfɛk
874	Turkish	mistake	h a t a	hata
875	Turkish	mistake	j a n l ɯ ʃ	janlɯʃ
876	Turkish	lie	j a l a n	jalan
877	Turkish	damage	z a ɾ a ɾ	zaɾaɾ
878	Turkish	misfortune	f ɛ l aː k ɛ t	fɛlaːkɛt
879	Turkish	misfortune	t a l i h s i z l i k	talihsizlik
880	Turkish	fault	s u tʃ	sut͡ʃ
881	Turkish	fault	k a b a h a t	kabahat
882	Turkish	age	j a ʃ	jaʃ
883	Turkish	end	s o n	son
884	Turkish	time	z a m a n	zaman
885	Turkish	day	g y n	ɡyn
886	Turkish	morning	s a b a h	sabah
887	Turkish	noon	œ j l ɛ	œjlɛ
888	Turkish	evening	a k ʃ a m	akʃam
889	Turkish	night	g ɛ dʒ ɛ	ɡɛd͡ʒɛ
890	Turkish	week	h a f t a	hafta
891	Turkish	month	a j	aj
892	Turkish	year	j ɯ l	jɯl
893	Turkish	year	s ɛ n ɛ	sɛnɛ
894	Turkish	spring	i l k b a h a ɾ	ilkbahaɾ
895	Turkish	summer	j a z	jaz
896	Turkish	autumn	g y z	ɡyz
897	Turkish	autumn	s o n b a h a ɾ	sonbahaɾ
898	Turkish	winter	k ɯ ʃ	kɯʃ
899	Turkish	little	u f a k	ufak
900	Turkish	little	k y tʃ y k	kyt͡ʃyk
901	Turkish	short	k ɯ s a	kɯsa
902	Turkish	wide	ɛ n l i	ɛnli
903	Turkish	wide	g ɛ n i ʃ	ɡɛniʃ
904	Turkish	narrow	d a ɾ	daɾ
905	Turkish	dense	s ɯ k	sɯk
906	Turkish	dense	j oː u n	joːun
907	Turkish	thick	k a l ɯ n	kalɯn
908	Turkish	thick	i ɾ i	iɾi
909	Turkish	thin	i n dʒ ɛ	ind͡ʒɛ
910	Turkish	delicate, fine	i n dʒ ɛ	ind͡ʒɛ
911	Turkish	delicate, fine	n a ɾ i n	naɾin
912	Turkish	firm, solid	s a b i t	sabit
913	Turkish	firm, solid	s aː l a m	saːlam
914	Turkish	flat	d y z	dyz
915	Turkish	flat	j a sː ɯ	jasːɯ
916	Turkish	smooth	d y z	dyz
917	Turkish	hard	k a t ɯ	katɯ
918	Turkish	soft	j u m u ʃ a k	jumuʃak
919	Turkish	round	j u v a ɾ l a k	juvaɾlak
920	Turkish	pointed	s i v ɾ i	sivɾi
921	Turkish	sharp	k ɛ s k i n	kɛskin
922	Turkish	blunt	k œ ɾ	kœɾ
923	Turkish	heavy	aː ɯ ɾ	aːɯɾ
924	Turkish	beautiful	g y z ɛ l	ɡyzɛl
925	Turkish	hot	k ɯ z g ɯ n	kɯzɡɯn
926	Turkish	warm	s ɯ dʒ a k	sɯd͡ʒak
927	Turkish	cold	s oː u k	soːuk
928	Turkish	cool	s ɛ ɾ i n	sɛɾin
929	Turkish	fresh	t a z ɛ	tazɛ
930	Turkish	damp	n ɛ m l i	nɛmli
931	Turkish	damp	ɾ u t u b ɛ t l i	ɾutubɛtli
932	Turkish	wet	j a ʃ	jaʃ
933	Turkish	wet	ɯ s l a k	ɯslak
934	Turkish	dry	k u ɾ u	kuɾu
935	Turkish	full	d o l u	dolu
936	Turkish	full	d o l m u ʃ	dolmuʃ
937	Turkish	empty	b o ʃ	boʃ
938	Turkish	open	a tʃ ɯ k	at͡ʃɯk
939	Turkish	closed	k a p a l ɯ	kapalɯ
940	Turkish	clean	p a k	pak
941	Turkish	clean	t ɛ m i z	tɛmiz
942	Turkish	dirty	p i s	pis
943	Turkish	dirty	k i ɾ l i	kiɾli
944	Turkish	raw	tʃ i j	t͡ʃij
945	Turkish	ripe	o l g u n	olɡun
946	Turkish	delicious	l ɛ zː ɛ t l i	lɛzːɛtli
947	Turkish	sweet	t a t l ɯ	tatlɯ
948	Turkish	sweet	ʃ ɛ k ɛ ɾ l i	ʃɛkɛɾli
949	Turkish	bitter	a dʒ ɯ	ad͡ʒɯ
950	Turkish	sour	ɛ k ʃ i	ɛkʃi
951	Turkish	bright	a j d ɯ n l ɯ k	ajdɯnlɯk
952	Turkish	dark	k a ɾ a n l ɯ k	kaɾanlɯk
953	Turkish	black	k a ɾ a	kaɾa
954	Turkish	black	s i j a h	sijah
955	Turkish	white	a k	ak
956	Turkish	white	b ɛ j a z	bɛjaz
957	Turkish	red	k ɯ ɾ m ɯ z ɯ	kɯɾmɯzɯ
958	Turkish	yellow	s a ɾ ɯ	saɾɯ
959	Turkish	blue	m a v i	mavi
960	Turkish	green	j ɛ ʃ i l	jɛʃil
961	Turkish	grey	b o z	boz
962	Turkish	colourful	ɾ ɛ n k l i	ɾɛnkli
963	Turkish	cheap	u dʒ u z	ud͡ʒuz
964	Turkish	expensive	p a h a l ɯ	pahalɯ
965	Turkish	precious	d ɛ j ɛ ɾ l i	dɛjɛɾli
966	Turkish	blind	k œ ɾ	kœɾ
967	Turkish	deaf	s aː ɯ ɾ	saːɯɾ
968	Turkish	powerful	d i n tʃ	dint͡ʃ
969	Turkish	powerful	k u vː ɛ t l i	kuvːɛtli
970	Turkish	strong	g y tʃ l y	ɡyt͡ʃly
971	Turkish	strong	k u vː ɛ t l i	kuvːɛtli
972	Turkish	weak	z a j ɯ f	zajɯf
973	Turkish	weak	g y tʃ s y z	ɡyt͡ʃsyz
974	Turkish	fat	ʃ i ʃ m a n	ʃiʃman
975	Turkish	slim	n a ɾ i n	naɾin
976	Turkish	pretty	g y z ɛ l	ɡyzɛl
977	Turkish	pretty	s ɛ v i m l i	sɛvimli
978	Turkish	evil	k œ t y	kœty
979	Turkish	stupid	a p t a l	aptal
980	Turkish	lazy	t ɛ m b ɛ l	tɛmbɛl
981	Turkish	diligent	tʃ a l ɯ ʃ k a n	t͡ʃalɯʃkan
982	Turkish	stingy	dʒ i m ɾ i	d͡ʒimɾi
983	Turkish	clever	z ɛ k iː	zɛkiː
984	Turkish	clever	a k ɯ lː ɯ	akɯlːɯ
985	Turkish	skilful	b ɛ dʒ ɛ ɾ i k l i	bɛd͡ʒɛɾikli
986	Turkish	dear	s ɛ v i m l i	sɛvimli
987	Turkish	merry	n ɛ ʃ ɛ l i	nɛʃɛli
988	Turkish	gentle	n a z i k	nazik
989	Turkish	hungry	a tʃ	at͡ʃ
990	Turkish	sick, ill	h a s t a	hasta
991	Turkish	sick, ill	ɾ a h a t s ɯ z	ɾahatsɯz
992	Turkish	naked	tʃ ɯ p l a k	t͡ʃɯplak
993	Turkish	sad	k ɛ d ɛ ɾ l i	kɛdɛɾli
994	Turkish	sad	y z y n t y l y	yzyntyly
995	Turkish	living	dʒ a n l ɯ	d͡ʒanlɯ
996	Turkish	good	i j i	iji
997	Turkish	bad	k œ t y	kœty
998	Turkish	correct	d oː ɾ u	doːɾu
999	Turkish	nasty, dire	k œ t y	kœty
1000	Turkish	true	d oː ɾ u	doːɾu
1001	Turkish	true	g ɛ ɾ tʃ ɛ k	ɡɛɾt͡ʃɛk
1002	Turkish	old	ɛ s k i	ɛski
1003	Turkish	new	j ɛ n i	jɛni
1004	Turkish	former	œ n dʒ ɛ k i	œnd͡ʒɛki
1005	Turkish	aged, old	j a ʃ l ɯ	jaʃlɯ
1006	Turkish	young	g ɛ n tʃ	ɡɛnt͡ʃ
1007	Turkish	poor	f a k i ɾ	fakiɾ
1008	Turkish	rich	z ɛ n g i n	zɛnɡin
1009	Turkish	familiar	b i l i n ɛ n	bilinɛn
1010	Turkish	famous	y n l y	ynly
1011	Turkish	famous	m ɛ ʃ h u ɾ	mɛʃhuɾ
1012	Turkish	foreign	j a b a n dʒ ɯ	jaband͡ʒɯ
1013	Turkish	different	a j ɾ ɯ	ajɾɯ
1014	Turkish	different	f a ɾ k l ɯ	faɾklɯ
1015	Turkish	near	j a k ɯ n	jakɯn
1016	Turkish	near	b i t i ʃ i k	bitiʃik
1017	Turkish	far	u z a k	uzak
1018	Turkish	left	s o l	sol
1019	Turkish	right	s aː	saː
1020	Turkish	other	d i j ɛ ɾ	dijɛɾ
1021	Turkish	first	i l k	ilk
1022	Turkish	first	b i ɾ i n dʒ i	biɾind͡ʒi
1023	Turkish	second	i k i n dʒ i	ikind͡ʒi
1024	Turkish	third	y tʃ y n dʒ y	yt͡ʃynd͡ʒy
1025	Turkish	last	s o n	son
1026	Turkish	last	s o n u n dʒ u	sonund͡ʒu
1027	Turkish	alone	j a l n ɯ z	jalnɯz
1028	Turkish	alone	t ɛ k + b a ʃ ɯ n a	tɛk_baʃɯna
1029	Turkish	at once	b i ɾ d ɛ n	biɾdɛn
1030	Turkish	together	b ɛ ɾ a b ɛ ɾ	bɛɾabɛɾ
1031	Turkish	together	b i ɾ l i k t ɛ	biɾliktɛ
1032	Turkish	suddenly	a n s ɯ z ɯ n	ansɯzɯn
1033	Turkish	suddenly	b i ɾ d ɛ n b i ɾ ɛ	biɾdɛnbiɾɛ
1034	Turkish	instantly	h ɛ m ɛ n	hɛmɛn
1035	Turkish	instantly	d ɛ ɾ h a l	dɛɾhal
1036	Turkish	later	d a h a + s o n ɾ a	daha_sonɾa
1037	Turkish	now	ʃ i m d i	ʃimdi
1038	Turkish	today	b u g y n	buɡyn
1039	Turkish	tomorrow	j a ɾ ɯ n	jaɾɯn
1040	Turkish	soon	j a k ɯ n d a	jakɯnda
1041	Turkish	then	s o n ɾ a	sonɾa
1042	Turkish	yesterday	d y n	dyn
1043	Turkish	once	ɛ s k i d ɛ n	ɛskidɛn
1044	Turkish	at that time	o + z a m a n l a ɾ	o_zamanlaɾ
1045	Turkish	afterwards	s o n ɾ a d a n	sonɾadan
1046	Turkish	afterwards	o n d a n + s o n ɾ a	ondan_sonɾa
1047	Turkish	before	œ n dʒ ɛ	œnd͡ʒɛ
1048	Turkish	before	œ n dʒ ɛ d ɛ n	œnd͡ʒɛdɛn
1049	Turkish	at first	i l k + œ n dʒ ɛ	ilk_œnd͡ʒɛ
1050	Turkish	once	b i ɾ + d ɛ f a	biɾ_dɛfa
1051	Turkish	sometimes	b a z a n	bazan
1052	Turkish	often	s ɯ k + s ɯ k	sɯk_sɯk
1053	Turkish	often	tʃ o k + d ɛ f a	t͡ʃok_dɛfa
1054	Turkish	always	d a i m a	daima
1055	Turkish	always	h ɛ ɾ + z a m a n	hɛɾ_zaman
1056	Turkish	never	a s l a + d ɛ j i l	asla_dɛjil
1057	Turkish	never	h i tʃ b i ɾ + z a m a n	hit͡ʃbiɾ_zaman
1058	Turkish	here	b u ɾ a d a	buɾada
1059	Turkish	hither	b u ɾ a j a	buɾaja
1060	Turkish	hence	b u ɾ a d a n	buɾadan
1061	Turkish	there	o ɾ a d a	oɾada
1062	Turkish	there	ʃ u ɾ a d a	ʃuɾada
1063	Turkish	thither	o ɾ a j a	oɾaja
1064	Turkish	thither	ʃ u ɾ a j a	ʃuɾaja
1065	Turkish	ahead	d oː ɾ u	doːɾu
1066	Turkish	forward	i l ɛ ɾ i	ilɛɾi
1067	Turkish	backward	g ɛ ɾ i	ɡɛɾi
1068	Turkish	back	g ɛ ɾ i j ɛ	ɡɛɾijɛ
1069	Turkish	below	a ʃ aː ɯ d a	aʃaːɯda
1070	Turkish	down	a ʃ aː ɯ j a	aʃaːɯja
1071	Turkish	above	j u k a ɾ ɯ d a	jukaɾɯda
1072	Turkish	up	j u k a ɾ ɯ	jukaɾɯ
1073	Turkish	up	j u k a ɾ ɯ j a	jukaɾɯja
